FIPS,Administered_Dose1_Pop_Pct
01001,53.7
01003,62.8
01005,53.8
01007,41.6
01009,37.4
01011,64.2
01013,48.5
01015,56.4
01017,37
01019,37.8
01021,43.3
01023,79.9
01025,61.8
01027,49.7
01029,36.8
01031,56.9
01033,56
01035,55.6
01037,47.9
01039,45.5
01041,40.9
01043,44.3
01045,61.1
01047,57.5
01049,40.6
01051,55.7
01053,45.6
01055,48.4
01057,40
01059,52.1
01061,47.5
01063,62.2
01065,71
01067,53.6
01069,50.5
01071,58.3
01073,69.6
01075,49.7
01077,56.3
01079,54.1
01081,46.7
01083,45.2
01085,63
01087,58.4
01089,74.2
01091,65.6
01093,41.7
01095,54.2
01097,58.7
01099,53.7
01101,64.8
01103,50.4
01105,56.9
01107,58.8
01109,49.4
01111,39.7
01113,54.7
01115,45.7
01117,43.8
01119,66.1
01121,43.5
01123,44.8
01125,51.5
01127,55.3
01129,54.8
01131,65.6
01133,25.9
02013,82
02016,70.3
02020,72.3
02050,72.1
02060,99.9
02068,60.8
02070,55.5
02090,65.5
02100,72.9
02105,75.2
02110,80.4
02122,51.2
02130,68.9
02150,70.2
02158,71.9
02164,64.6
02170,43.1
02180,72.6
02185,41.9
02188,62.3
02195,79.2
02198,58.6
02220,78.9
02230,77.3
02240,43.3
02261,64.5
02275,59.5
02282,77.4
02290,80.5
04001,99.9
04003,75.8
04005,88.4
04007,66.9
04009,70.5
04011,48.2
04012,58.2
04013,64.6
04015,49.3
04017,85.5
04019,78.1
04021,59.9
04023,100
04025,55.6
04027,82
05001,63.4
05003,57.2
05005,53.7
05007,63.3
05009,43.1
05011,65.3
05013,41.9
05015,55.6
05017,64.5
05019,55.5
05021,50.6
05023,50.7
05025,59.3
05027,57.1
05029,60.5
05031,52.3
05033,52.4
05035,52.9
05037,57.9
05039,63.1
05041,70.1
05043,54.9
05045,58.2
05047,53.3
05049,37
05051,52.9
05053,52.4
05055,48.3
05057,47.9
05059,47.7
05061,62.2
05063,46.9
05065,43.1
05067,44.4
05069,54.6
05071,56.5
05073,47.8
05075,53.6
05077,41
05079,40.9
05081,47.9
05083,52.6
05085,54.4
05087,49.3
05089,41.5
05091,40
05093,47.2
05095,66.8
05097,41.8
05099,55.1
05101,39.8
05103,61.3
05105,58.8
05107,56.9
05109,50.8
05111,51.8
05113,42.2
05115,56.3
05117,50.7
05119,66.5
05121,47.7
05123,57
05125,57.1
05127,55.5
05129,44.2
05131,58.2
05133,51.6
05135,45
05137,41.3
05139,59.7
05141,46.7
05143,64.9
05145,50.8
05147,63.3
05149,54
06001,91
06003,0
06005,80.9
06007,58.7
06009,87.6
06011,66.9
06013,87.4
06015,48.9
06017,69.3
06019,68.5
06021,61.4
06023,72.6
06025,95.7
06027,0
06029,59.2
06031,56.4
06033,65.2
06035,41.3
06037,80.3
06039,62.1
06041,95
06043,0
06045,75.1
06047,69.1
06049,0
06051,0
06053,80.4
06055,86.4
06057,71.4
06059,79.8
06061,72.5
06063,0
06065,65.7
06067,73.4
06069,72.9
06071,63.2
06073,99.9
06075,94.1
06077,85.6
06079,67.6
06081,92.9
06083,78.3
06085,94.6
06087,86.6
06089,56.6
06091,0
06093,59.5
06095,77.4
06097,86.3
06099,82.2
06101,67.1
06103,47.1
06105,0
06107,60
06109,81.2
06111,79.2
06113,77.5
06115,59.6
08001,71.4
08003,61.3
08005,71.8
08007,62.9
08009,40
08011,27.2
08013,83.7
08014,83.9
08015,68.3
08017,33.1
08019,53.7
08021,52.6
08023,60.9
08025,22.6
08027,52.2
08029,51.4
08031,81.1
08033,46
08035,78.5
08037,95
08039,40.1
08041,72
08043,48.3
08045,69.3
08047,63
08049,71
08051,75.2
08053,65.2
08055,57.7
08057,46.2
08059,82.6
08061,38.2
08063,40.5
08065,66.8
08067,77.2
08069,73.6
08071,65.4
08073,36.5
08075,39.6
08077,53.5
08079,85.3
08081,47.1
08083,73.3
08085,53
08087,51.8
08089,51.5
08091,71
08093,50.4
08095,56.4
08097,95.8
08099,46
08101,61
08103,43
08105,68
08107,83.3
08109,37.6
08111,98.1
08113,94
08115,55.3
08117,95
08119,55.9
08121,33.5
08123,63.8
08125,47.6
09001,95
09003,85.1
09005,85.3
09007,94.4
09009,91.3
09011,90.7
09013,74.7
09015,71.8
10001,62.5
10003,80.2
10005,78.1
11001,88
12001,74.2
12003,43.1
12005,61.4
12007,51.7
12009,73.8
12011,83.2
12013,40.5
12015,77.7
12017,63
12019,62.3
12021,80.4
12023,47.8
12027,56.1
12029,43.1
12031,68.7
12033,63.6
12035,71.2
12037,53.3
12039,64.4
12041,41.6
12043,40.1
12045,58.5
12047,41.2
