"GEO_ID","P001001","NAME"
"id","Total","Geographic Area Name"
"0500000US01001","54571","Autauga County, Alabama"
"0500000US01003","182265","Baldwin County, Alabama"
"0500000US01005","27457","Barbour County, Alabama"
"0500000US01007","22915","Bibb County, Alabama"
"0500000US01009","57322","Blount County, Alabama"
"0500000US01011","10914","Bullock County, Alabama"
"0500000US01013","20947","Butler County, Alabama"
"0500000US01015","118572","Calhoun County, Alabama"
"0500000US01017","34215","Chambers County, Alabama"
"0500000US01019","25989","Cherokee County, Alabama"
"0500000US01021","43643","Chilton County, Alabama"
"0500000US01023","13859","Choctaw County, Alabama"
"0500000US01025","25833","Clarke County, Alabama"
"0500000US01027","13932","Clay County, Alabama"
"0500000US01029","14972","Cleburne County, Alabama"
"0500000US01031","49948","Coffee County, Alabama"
"0500000US01033","54428","Colbert County, Alabama"
"0500000US01035","13228","Conecuh County, Alabama"
"0500000US01037","11539","Coosa County, Alabama"
"0500000US01039","37765","Covington County, Alabama"
"0500000US01041","13906","Crenshaw County, Alabama"
"0500000US01043","80406","Cullman County, Alabama"
"0500000US01045","50251","Dale County, Alabama"
"0500000US01047","43820","Dallas County, Alabama"
"0500000US01049","71109","DeKalb County, Alabama"
"0500000US01051","79303","Elmore County, Alabama"
"0500000US01053","38319","Escambia County, Alabama"
"0500000US01055","104430","Etowah County, Alabama"
"0500000US01057","17241","Fayette County, Alabama"
"0500000US01059","31704","Franklin County, Alabama"
"0500000US01061","26790","Geneva County, Alabama"
"0500000US01063","9045","Greene County, Alabama"
"0500000US01065","15760","Hale County, Alabama"
"0500000US01067","17302","Henry County, Alabama"
"0500000US01069","101547","Houston County, Alabama"
"0500000US01071","53227","Jackson County, Alabama"
"0500000US01073","658466(r38264)","Jefferson County, Alabama"
"0500000US01075","14564","Lamar County, Alabama"
"0500000US01077","92709","Lauderdale County, Alabama"
"0500000US01079","34339","Lawrence County, Alabama"
"0500000US01081","140247(r38032)","Lee County, Alabama"
"0500000US01083","82782","Limestone County, Alabama"
"0500000US01085","11299","Lowndes County, Alabama"
"0500000US01087","21452","Macon County, Alabama"
"0500000US01089","334811","Madison County, Alabama"
"0500000US01091","21027","Marengo County, Alabama"
"0500000US01093","30776","Marion County, Alabama"
"0500000US01095","93019","Marshall County, Alabama"
"0500000US01097","412992(r38160)","Mobile County, Alabama"
"0500000US01099","23068","Monroe County, Alabama"
"0500000US01101","229363","Montgomery County, Alabama"
"0500000US01103","119490","Morgan County, Alabama"
"0500000US01105","10591","Perry County, Alabama"
"0500000US01107","19746","Pickens County, Alabama"
"0500000US01109","32899","Pike County, Alabama"
"0500000US01111","22913","Randolph County, Alabama"
"0500000US01113","52947","Russell County, Alabama"
"0500000US01115","83593","St. Clair County, Alabama"
"0500000US01117","195085","Shelby County, Alabama"
"0500000US01119","13763","Sumter County, Alabama"
"0500000US01121","82291","Talladega County, Alabama"
"0500000US01123","41616","Tallapoosa County, Alabama"
"0500000US01125","194656","Tuscaloosa County, Alabama"
"0500000US01127","67023","Walker County, Alabama"
"0500000US01129","17581","Washington County, Alabama"
"0500000US01131","11670","Wilcox County, Alabama"
"0500000US01133","24484","Winston County, Alabama"
"0500000US02013","3141","Aleutians East Borough, Alaska"
"0500000US02016","5561","Aleutians West Census Area, Alaska"
"0500000US02020","291826","Anchorage Municipality, Alaska"
"0500000US02050","17013","Bethel Census Area, Alaska"
"0500000US02060","997","Bristol Bay Borough, Alaska"
"0500000US02068","1826","Denali Borough, Alaska"
"0500000US02070","4847","Dillingham Census Area, Alaska"
"0500000US02090","97581","Fairbanks North Star Borough, Alaska"
"0500000US02100","2508","Haines Borough, Alaska"
"0500000US02105","2150","Hoonah-Angoon Census Area, Alaska"
"0500000US02110","31275","Juneau City and Borough, Alaska"
"0500000US02122","55400","Kenai Peninsula Borough, Alaska"
"0500000US02130","13477","Ketchikan Gateway Borough, Alaska"
"0500000US02150","13592","Kodiak Island Borough, Alaska"
"0500000US02164","1631(r38835)","Lake and Peninsula Borough, Alaska"
"0500000US02170","88995","Matanuska-Susitna Borough, Alaska"
"0500000US02180","9492","Nome Census Area, Alaska"
"0500000US02185","9430","North Slope Borough, Alaska"
"0500000US02188","7523","Northwest Arctic Borough, Alaska"
"0500000US02195","3815","Petersburg Census Area, Alaska"
"0500000US02198","5559","Prince of Wales-Hyder Census Area, Alaska"
"0500000US02220","8881","Sitka City and Borough, Alaska"
"0500000US02230","968","Skagway Municipality, Alaska"
"0500000US02240","7029","Southeast Fairbanks Census Area, Alaska"
"0500000US02261","9636","Valdez-Cordova Census Area, Alaska"
"0500000US02270","7459","Wade Hampton Census Area, Alaska"
"0500000US02275","2369","Wrangell City and Borough, Alaska"
"0500000US02282","662","Yakutat City and Borough, Alaska"
"0500000US02290","5588","Yukon-Koyukuk Census Area, Alaska"
"0500000US04001","71518","Apache County, Arizona"
"0500000US04003","131346","Cochise County, Arizona"
"0500000US04005","134421","Coconino County, Arizona"
"0500000US04007","53597","Gila County, Arizona"
"0500000US04009","37220","Graham County, Arizona"
"0500000US04011","8437","Greenlee County, Arizona"
"0500000US04012","20489","La Paz County, Arizona"
"0500000US04013","3817117","Maricopa County, Arizona"
"0500000US04015","200186","Mohave County, Arizona"
"0500000US04017","107449","Navajo County, Arizona"
"0500000US04019","980263","Pima County, Arizona"
"0500000US04021","375770","Pinal County, Arizona"
"0500000US04023","47420","Santa Cruz County, Arizona"
"0500000US04025","211033","Yavapai County, Arizona"
"0500000US04027","195751","Yuma County, Arizona"
"0500000US05001","19019","Arkansas County, Arkansas"
"0500000US05003","21853","Ashley County, Arkansas"
"0500000US05005","41513","Baxter County, Arkansas"
"0500000US05007","221339","Benton County, Arkansas"
"0500000US05009","36903","Boone County, Arkansas"
"0500000US05011","11508","Bradley County, Arkansas"
"0500000US05013","5368","Calhoun County, Arkansas"
"0500000US05015","27446","Carroll County, Arkansas"
"0500000US05017","11800","Chicot County, Arkansas"
"0500000US05019","22995","Clark County, Arkansas"
"0500000US05021","16083","Clay County, Arkansas"
"0500000US05023","25970","Cleburne County, Arkansas"
"0500000US05025","8689","Cleveland County, Arkansas"
"0500000US05027","24552","Columbia County, Arkansas"
"0500000US05029","21273","Conway County, Arkansas"
"0500000US05031","96443","Craighead County, Arkansas"
"0500000US05033","61948","Crawford County, Arkansas"
"0500000US05035","50902","Crittenden County, Arkansas"
"0500000US05037","17870","Cross County, Arkansas"
"0500000US05039","8116","Dallas County, Arkansas"
"0500000US05041","13008","Desha County, Arkansas"
"0500000US05043","18509","Drew County, Arkansas"
"0500000US05045","113237","Faulkner County, Arkansas"
"0500000US05047","18125","Franklin County, Arkansas"
"0500000US05049","12245","Fulton County, Arkansas"
"0500000US05051","96024","Garland County, Arkansas"
"0500000US05053","17853","Grant County, Arkansas"
"0500000US05055","42090","Greene County, Arkansas"
"0500000US05057","22609","Hempstead County, Arkansas"
"0500000US05059","32923","Hot Spring County, Arkansas"
"0500000US05061","13789","Howard County, Arkansas"
"0500000US05063","36647","Independence County, Arkansas"
"0500000US05065","13696","Izard County, Arkansas"
"0500000US05067","17997","Jackson County, Arkansas"
"0500000US05069","77435","Jefferson County, Arkansas"
"0500000US05071","25540","Johnson County, Arkansas"
"0500000US05073","7645","Lafayette County, Arkansas"
"0500000US05075","17415","Lawrence County, Arkansas"
"0500000US05077","10424","Lee County, Arkansas"
"0500000US05079","14134","Lincoln County, Arkansas"
"0500000US05081","13171","Little River County, Arkansas"
"0500000US05083","22353","Logan County, Arkansas"
"0500000US05085","68356","Lonoke County, Arkansas"
"0500000US05087","15717","Madison County, Arkansas"
"0500000US05089","16653","Marion County, Arkansas"
"0500000US05091","43462","Miller County, Arkansas"
"0500000US05093","46480","Mississippi County, Arkansas"
"0500000US05095","8149","Monroe County, Arkansas"
"0500000US05097","9487","Montgomery County, Arkansas"
"0500000US05099","8997","Nevada County, Arkansas"
